14/05/15 22:26:43
guerreen	[<http://dbpedia.org/resource/Ren%C3%A9_de_Segonzac>]
russia	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]
fierce	[<http://dbpedia.org/resource/Daniel_Montbars>]
williams	[<http://dbpedia.org/resource/William_the_Conqueror>]
castile	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
order	[<http://dbpedia.org/resource/Michel_Hollard>]
oscar	[<http://dbpedia.org/resource/Oscar_F._Miller>]
africa	[<http://dbpedia.org/resource/Violette_Szabo>]	[<http://dbpedia.org/resource/Alain_Pellegrini>]	[<http://dbpedia.org/resource/Louis_Archinard>]
birth	[<http://dbpedia.org/resource/Napoleon_II>]
1075	[<http://dbpedia.org/resource/William_the_Conqueror>]
infanterie	[<http://dbpedia.org/resource/Jean_Th%C3%A9veney>]
intelligence	[<http://dbpedia.org/resource/Alain_Pellegrini>]
sydney	[<http://dbpedia.org/resource/Thomas_Frederick_Stephenson>]
berengar	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
million	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
coutrai	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
schools	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]	[<http://dbpedia.org/resource/Alain_Pellegrini>]
1067	[<http://dbpedia.org/resource/William_the_Conqueror>]
champion	[<http://dbpedia.org/resource/Ludovic_Millet>]
successor	[<http://dbpedia.org/resource/Napoleon_II>]
1087	[<http://dbpedia.org/resource/William_the_Conqueror>]
1086	[<http://dbpedia.org/resource/William_the_Conqueror>]
institut	[<http://dbpedia.org/resource/Bernard_Saint-Hillier>]
toe	[<http://dbpedia.org/resource/Thomas_Frederick_Stephenson>]
sicilyen	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
dauphinen	[<http://dbpedia.org/resource/Louis,_Dauphin_of_France,_Duke_of_Burgundy>]
montbars	[<http://dbpedia.org/resource/Daniel_Montbars>]
tom	[<http://dbpedia.org/resource/Eliane_Plewman>]
peer	[<http://dbpedia.org/resource/Jean-G%C3%A9rard_Lacu%C3%A9e,_count_of_Cessac>]
20082010en	[<http://dbpedia.org/resource/Vincent_Desportes>]
achaea	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
hastings	[<http://dbpedia.org/resource/William_the_Conqueror>]
famous	[<http://dbpedia.org/resource/Ludovic_Millet>]
stephenson	[<http://dbpedia.org/resource/Thomas_Frederick_Stephenson>]
niceen	[<http://dbpedia.org/resource/Ren%C3%A9_Cogny>]
championen	[<http://dbpedia.org/resource/Ludovic_Millet>]
ecole	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]	[<http://dbpedia.org/resource/Ren%C3%A9_de_Segonzac>]	[<http://dbpedia.org/resource/Jean_Th%C3%A9veney>]
francodahomean	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
phu	[<http://dbpedia.org/resource/Ren%C3%A9_Cogny>]
roland	[<http://dbpedia.org/resource/Roland_Garros_(aviator)>]
capital	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
1900s	[<http://dbpedia.org/resource/Ferdinand_Ferber>]
laiglon	[<http://dbpedia.org/resource/Napoleon_II>]
tortured	[<http://dbpedia.org/resource/Violette_Szabo>]
reign	[<http://dbpedia.org/resource/William_the_Conqueror>]
memberen	[<http://dbpedia.org/resource/Eliane_Plewman>]
smuggling	[<http://dbpedia.org/resource/Michel_Hollard>]
descendant	[<http://dbpedia.org/resource/William_the_Conqueror>]
expeditions	[<http://dbpedia.org/resource/Jacques_F%C3%A9lix_Emmanuel_Hamelin>]
forcalquier	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
lollonais	[<http://dbpedia.org/resource/Daniel_Montbars>]
academic	[<http://dbpedia.org/resource/Pandi_Ge%C3%A7o>]
members	[<http://dbpedia.org/resource/William_the_Conqueror>]
leicester	[<http://dbpedia.org/resource/Eliane_Plewman>]
west	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]	[<http://dbpedia.org/resource/Louis_Archinard>]
grandofficer	[<http://dbpedia.org/resource/Jean_Th%C3%A9veney>]
representative	[<http://dbpedia.org/resource/Bellamy_Storer_(1847%E2%80%931922)>]	[<http://dbpedia.org/resource/Bernard_Saint-Hillier>]
odohertys	[<http://dbpedia.org/resource/Michael_O'Doherty_(publisher)>]
including	[<http://dbpedia.org/resource/William_the_Conqueror>]
arme	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
heroic	[<http://dbpedia.org/resource/Jimmie_W._Monteith>]
